time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram,junctionId
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,226085798,46,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,-2103684616,16,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,753717782,38,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,-272021652,39,55,0,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,-1810716315,55,36,19,0,0.24,62.69,3032,false,"0,16;1,5",6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,446261593,29,27,2,7,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,11,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:05:04.163Z,6707bbe0aec0196d08c03b8c,1162903151,45,44,1,1,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.67,0.58,584,false,"0,1;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,500370719,24,24,0,1,0.05,1.76,4258,false,"0,36;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-458711495,30,34,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-1922686271,35,27,8,4,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-1360511885,43,38,5,0,0.53,93.21,2699,false,"0,12;1,5;3,1;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-33268468,200,51,149,37,0.0,0.04,39,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,62,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,669297184,32,38,0,0,0.06,0.04,2241,false,"0,16;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-305213544,24,23,1,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,1501651498,43,43,0,2,0.43,55.57,2655,false,"0,12;1,9",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,226085798,46,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-2103684616,16,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,753717782,38,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-272021652,39,55,0,0,0.0,0.0,245,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,-1810716315,46,36,10,0,0.21,119.92,2840,false,"0,19;1,5",6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,446261593,29,27,2,7,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,11,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:06:04.992Z,6707bbe0aec0196d08c03b8c,1162903151,33,44,0,1,0.0,0.0,0,false,"0,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.67,0.23,440,false,"0,1;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,500370719,23,24,0,1,0.03,0.7,4280,false,"0,33;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-458711495,25,34,0,0,0.0,0.0,71,false,"0,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-1922686271,35,27,8,4,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-1360511885,42,38,4,0,0.47,37.25,2707,false,"0,13;1,4;3,1;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-33268468,200,51,149,37,0.0,0.01,16,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,25,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,669297184,32,38,0,0,0.06,0.01,2427,false,"0,17;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-305213544,25,23,2,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,1501651498,49,43,6,2,0.45,42.02,2806,false,"0,12;1,10",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,226085798,46,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-2103684616,16,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,753717782,38,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-272021652,39,55,0,0,0.0,0.0,98,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,-1810716315,46,36,10,0,0.18,142.78,3023,false,"0,18;1,4",6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,446261593,29,27,2,7,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:07:02.688Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,11,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
